Detection ?	Observer	Start Date (mm/dd/yyyy)	Start Time (UTC)	Total Exposure (s)	Min true anomaly 	Max true anomaly	Comment on methods	Reference		Encounter	Start (ISO)					*Yellow highlight means that the finding has been contested by at least one paper
No	HST	3/28/15	17:42:00	10722			Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2016"			2015-03-28T17:42:00					
No	HST	4/3/15	15:51:00	1836			Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2016"			2015-04-03T15:51:00					
No	HST	4/14/15	6:08:00	4326			Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2016"			2015-04-14T06:08:00					
No	Keck	2/3/16	11:31:00	3660	347	354	Direct observation	"Paganini et al., 2019"			2016-02-03T11:31:00					
No	Keck	2/3/16	13:14:00	5820	354	5	Direct observation	"Paganini et al., 2019"			2016-02-03T13:14:00					
No	Keck	2/5/16	13:48:00	6000	201	204	Direct observation	"Paganini et al., 2019"			2016-02-05T13:48:00					
No	Keck	2/10/16	11:55:00	9840	344	1	Direct observation	"Paganini et al., 2019"			2016-02-10T11:55:00					
No	Keck	2/12/16	11:09:00	7440	184	198	Direct observation	"Paganini et al., 2019"			2016-02-12T11:09:00					
No	Keck	2/12/16	14:17:00	3840	198	205	Direct observation	"Paganini et al., 2019"			2016-02-12T14:17:00					
No	Keck	2/19/16	10:52:00	9120	178	196	Direct observation	"Paganini et al., 2019"			2016-02-19T10:52:00					
No	Keck	2/27/16	11:06:00	7920	277	292	Direct observation	"Paganini et al., 2019"			2016-02-27T11:06:00					
No	Keck	4/12/16	6:29:00	6300	174	188	Direct observation	"Paganini et al., 2019"			2016-04-12T06:29:00					
No	Keck	4/19/16	7:46:00	3600	174	181	Direct observation	"Paganini et al., 2019"			2016-04-19T07:46:00					
Yes	Keck	4/26/16	5:32:00	8880	159	176	Direct observation	"Paganini et al., 2019"			2016-04-26T05:32:00					
No	Keck	4/29/16	8:10:00 AM	5280	115	120	Direct observation	"Paganini et al., 2019"			2016-04-29T08:10:00					
No	Keck	2/11/17	11:48:00	5280	19	28	Direct observation	"Paganini et al., 2019"			2017-02-11T11:48:00					
No	Keck	2/17/17	10:47:00	1920	346	359	Direct observation	"Paganini et al., 2019"			2017-02-17T10:47:00					
No	Keck	3/5/17	11:10:00	4200	100	120	Direct observation	"Paganini et al., 2019"			2017-03-05T11:10:00					
No	Keck	3/12/17	10:22:00	9660	92	109	Direct observation	"Paganini et al., 2019"			2017-03-12T10:22:00					
No	Keck	3/15/17	7:50:00	2760	30	39	Direct observation	"Paganini et al., 2019"			2017-03-15T07:50:00					
No	Keck	3/19/17	11:47:00	3120	93	98	Direct observation	"Paganini et al., 2019"			2017-03-19T11:47:00					
No	Keck	3/22/17	13:29:00	3300	48	54	Direct observation	"Paganini et al., 2019"			2017-03-22T13:29:00					
No	Keck	5/7/17	13:29:00	5520	32	42	Direct observation	"Paganini et al., 2019"			2017-05-07T13:29:00					
Yes	HST	2/22/16		2192	167		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2017"			2016-02-22T					
No	HST	3/4/16		2508	169		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2017"			2016-03-04T					
																
Yes	Galileo	12/16/97	12:00:59	278			Magnetometer	"Jia et al., 2018"		E12	1997-12-16T12:00:59					
No	Galileo	1/3/00	CA 17:59:43				Magnetometer	"Jia et al., 2018"		E26	2000-01-02T17:59:43					
																
Yes	Subaru	7/17/21	10:21:00	8400	252	272	Direct observation	"Kimura et al., 2024"			2021-07-17T10:21:00					
No	JWST	11/23/22					Spectroscopic	"Villanueva et al., 2023"			2022-11-23T00:00:00					
